СПУ_task3_Дополнительное
Pred,Posl,Dlit,Fiktiv,X,Y,Text
5,6,2,4,23,253,,1-3,
5,8,8,4,130,80,,1-4,
7,8,4,0,131,20,,2-4,
7,10,4,0,87,129,,2-6,
6,8,6,0,176,176,,3-4,
6,11,9,0,173,253,,3-8,
8,9,6,0,245,20,,4-5,
9,10,7,0,391,21,,5-6,
9,12,1,0,438,98,,5-7,
9,11,8,0,379,137,,5-8,
10,12,6,0,296,180,,6-7,
10,13,4,5,478,19,,6-9,
12,13,7,5,440,234,,7-9,
11,13,5,5,328,253,,8-9,
5,7,9,4,28,19,,1-2,
X,Y,№,Hint
0,105,2,Начало
409,2,3,6-9/7-9/8-9
111,106,6,1-4/2-4/3-4
27,202,7,1-3
201,107,8,4-5
158,0,9,2-6/5-6
281,57,10,5-7/6-7
255,204,11,3-8/5-8
63,0,12,1-2
